item_id,title,Recomendados
4230,RACE - The WTCC Game,"['STCC - The Game 1 - Expansion Pack for RACE 07', 'STCC The Game 2 – Expansion Pack for RACE 07', 'RETRO – Expansion Pack for RACE 07', 'HTR+ Slot Car Simulation', 'Aquadelic GT']"
4900,Zen of Sudoku,"['Spectraball', 'Magnetis', 'Ziro', 'SpaceChem: 63 Corvi', 'Fractal: Make Blooms Not War']"
2520,Gumboy - Crazy Adventures™,"['Approaching Blocks', 'Tidalis', 'Cubicolor', 'True or False 2', 'Cube Link']"
6200,Ghost Master®,"['Tropico Reloaded', 'Tropico 3: Absolute Power', 'RollerCoaster Tycoon® 3: Platinum', 'Tropico 3', 'RollerCoaster Tycoon®: Deluxe']"
6210,Vegas: Make It Big™,"['M.U.D. TV', 'The Terminal 2', 'Pizza Connection', 'RECYCLE', 'Airline Tycoon 2']"
6300,Dreamfall: The Longest Journey,"['The Longest Journey', 'The Turing Test', 'Dreamfall Chapters', 'Deus Ex: Mankind Divided', 'BioShock Infinite - Season Pass']"
2990,FlatOut 2™,"['FlatOut', 'FlatOut: Ultimate Carnage', 'Turbo Dismount™', 'Crazy Taxi', 'CrazyCars3D']"
6220,FlatOut,"['FlatOut: Ultimate Carnage', 'FlatOut 2™', 'Crazy Taxi', 'FlatOut 4: Total Insanity', 'Midnight Club 2']"
6510,Lost Planet™: Extreme Condition,"['Front Mission Evolved', 'Rogue Trooper', 'Dark Void™', 'Lost Planet: Extreme Condition Colonies Edition', 'Lead and Gold: Gangs of the Wild West']"
3980,CivCity: Rome,"['Caesar™ IV', 'Grand Ages: Rome - Reign of Augustus', 'Imperium Romanum Gold Edition', 'City Life 2008', 'Cities: Skylines - Green Cities']"
1700,Arx Fatalis,"['The Elder Scrolls IV: Oblivion® Game of the Year Edition', 'Risen 3 - Titan Lords', 'Thief™ II: The Metal Age', 'Thief™ Gold', 'Thief: Deadly Shadows']"
6310,The Longest Journey,"['Dreamfall: The Longest Journey', 'Syberia', 'Dreamfall Chapters', 'Syberia II', 'AR-K']"
3990,Civilization IV®: Warlords,"[""Sid Meier's Civilization V: Gods and Kings"", 'Massive Assault: Phantom Renaissance', '1812: The Invasion of Canada', ""Sid Meier's Civilization V: Brave New World"", ""Sid Meier's Civilization IV: Colonization""]"
7610,Railroad Tycoon 3,"[""Sid Meier's Railroads!"", 'Railroad Tycoon II Platinum', '7,62 High Calibre', 'A-Train PC Classic / みんなのA列車で行こうPC', 'Bounty Train']"
7600,Sid Meier's Railroads!,"['Railroad Tycoon 3', 'Railroad Tycoon II Platinum', 'RollerCoaster Tycoon® 3: Platinum', 'SimCity™ 4 Deluxe Edition', '7,62 High Calibre']"
7620,Railroad Tycoon II Platinum,"['Railroad Tycoon 3', 'Freight Tycoon Inc.', 'Airline Tycoon 2', 'Industry Giant 2', ""Chris Sawyer's Locomotion™""]"
7650,X-COM: Terror From the Deep,"['X-COM: UFO Defense', 'Jagged Alliance 2 - Wildfire', 'UFO: Extraterrestrials Gold', 'XCOM 2: War of the Chosen', 'Xenonauts']"
8000,Tomb Raider: Anniversary,"['Tomb Raider: Underworld', 'Tomb Raider III', 'Tomb Raider I', 'Tomb Raider II', 'Tomb Raider IV: The Last Revelation']"
6550,Devil May Cry® 3 Special Edition,"['Devil May Cry 4', 'DmC: Devil May Cry', 'Devil May Cry® 4 Special Edition', 'Killer is Dead - Nightmare Edition', 'Bayonetta']"
8200,Sam &amp; Max 101: Culture Shock,"['Sam &amp; Max: The Devil’s Playhouse', 'Hector: Badge of Carnage - Full Series', 'Sinking Island', 'Alter Ego', 'Sherlock Holmes: The Silver Earring']"
2290,Final DOOM,"['Master Levels for Doom II', 'DOOM II', 'Ultimate Doom', 'QUAKE II', 'QUAKE']"
8210,Sam &amp; Max 102: Situation: Comedy,"['Lara Croft GoL: Raziel and Kain Character Pack', 'Lara Croft GoL: Things that Go Boom - Challenge Pack 2', 'Lara Croft GoL: Hazardous Reunion - Challenge Pack 3', 'Lara Croft GoL: All the Trappings - Challenge Pack 1', 'Ghostbusters: Sanctum of Slime Challenge Pack DLC']"
2280,Ultimate Doom,"['Master Levels for Doom II', 'DOOM II', 'Final DOOM', 'QUAKE II', 'QUAKE']"
9160,Master Levels for Doom II,"['Final DOOM', 'Ultimate Doom', 'DOOM II', 'QUAKE II', 'Blood: One Unit Whole Blood']"
2300,DOOM II,"['Final DOOM', 'Ultimate Doom', 'Master Levels for Doom II', 'QUAKE II', 'QUAKE']"
2270,Wolfenstein 3D,"['Spear of Destiny', 'Ubersoldier II', 'Eradicator', 'STAR WARS™ - Dark Forces', 'Call of Duty: United Offensive']"
9010,Return to Castle Wolfenstein,"['Wolfenstein: The New Order', 'Wolfenstein: The Old Blood', 'Wolfenstein II: The New Colossus', 'Wolfenstein II: The New Colossus', 'Far Cry®']"
9040,QUAKE Mission Pack 1: Scourge of Armagon,"['QUAKE Mission Pack 2: Dissolution of Eternity', 'Shadow Ops: Red Mercury', 'Eradicator', 'The Evil Within: The Executioner', 'Putrefaction']"
9000,Spear of Destiny,"['NAM', 'Wolfenstein 3D', 'World War II GI', 'Ubersoldier II', 'Sniper Art of Victory']"
3810,BloodRayne,"['BloodRayne 2', 'Rune Classic', 'The Lost Mythologies', 'X-Blades', 'Hunted: The Demon’s Forge™']"
9030,QUAKE Mission Pack 2: Dissolution of Eternity,"['QUAKE Mission Pack 1: Scourge of Armagon', 'Shadow Ops: Red Mercury', 'Eradicator', 'QUAKE II Mission Pack: Ground Zero', 'QUAKE II Mission Pack: The Reckoning']"
2310,QUAKE,"['QUAKE II', 'Unreal Tournament: Game of the Year Edition', 'Unreal Gold', ""Unreal Tournament 2004: Editor's Choice Edition"", 'Final DOOM']"
3230,Genesis Rising,"['ORB', 'Ancient Space', 'Galaxy Reavers', 'Grey Goo - Emergence Campaign', 'Ground Control II: Operation Exodus']"
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault","['Warhammer® 40,000: Dawn of War® - Game of the Year Edition', 'Warhammer® 40,000: Dawn of War® - Soulstorm', 'Warhammer® 40,000: Dawn of War® II Chaos Rising', 'Warhammer® 40,000: Dawn of War® - Dark Crusade', 'Battlefleet Gothic: Armada']"
7670,BioShock™,"['BioShock™ Remastered', 'BioShock® 2', 'BioShock™ 2 Remastered', 'BioShock Infinite', 'Deus Ex: Game of the Year Edition']"
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","['Warhammer® 40,000: Dawn of War® - Soulstorm', 'Warhammer® 40,000: Dawn of War® – Winter Assault', 'Warhammer® 40,000: Dawn of War® - Dark Crusade', 'Battlefleet Gothic: Armada', 'Warhammer® 40,000: Dawn of War® II Chaos Rising']"
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade","['Warhammer® 40,000: Dawn of War® - Game of the Year Edition', 'Warhammer® 40,000: Dawn of War® II Chaos Rising', 'Warhammer 40,000: Dawn of War II: Retribution', 'Warhammer® 40,000: Dawn of War® - Soulstorm', 'Warhammer® 40,000: Dawn of War® – Winter Assault']"
4760,Rome: Total War™ - Collection,"['Medieval II: Total War™', 'Napoleon: Total War™', 'Napoleon: Total War™ Imperial Edition', 'Empire: Total War™', 'Total War: ATTILA']"
4770,Rome: Total War™ - Alexander,"['Total War: ROME II - Hannibal at the Gates Campaign Pack', 'Total War: ROME II - Greek States Culture Pack', 'Total War: ROME II - Wrath of Sparta Campaign Pack', ""Sid Meier's Civilization V: Brave New World"", 'Imperial Glory']"
50970,Mystery Case Files: Madame Fate®,"['Mystery P.I.™ - The Vegas Heist', 'Mystery P.I. - Lost in Los Angeles', 'Hidden Expedition: Titanic', ""Mishap 2: An Intentional Haunting - Collector's Edition"", 'The Flying Dutchman']"
12130,Manhunt,"['Silent Hill Homecoming', 'Friday the 13th: The Game', 'The Evil Within 2', 'Amnesia: The Dark Descent', 'DreadOut']"
12160,Midnight Club 2,"['Crazy Taxi', 'Street Racing Syndicate', 'FlatOut', 'Need for Speed Undercover', 'FlatOut: Ultimate Carnage']"
12150,Max Payne 2: The Fall of Max Payne,"['Max Payne', 'Max Payne 3', ""Tom Clancy's Splinter Cell Chaos Theory®"", 'GUN™', 'Mafia III']"
7000,Tomb Raider: Legend,"['Tomb Raider III', 'Tomb Raider IV: The Last Revelation', 'Tomb Raider II', 'Tomb Raider: Underworld', 'Tomb Raider V: Chronicles']"
12140,Max Payne,"['Max Payne 2: The Fall of Max Payne', 'Max Payne 3', 'Alan Wake', 'The Evil Within 2', ""Alan Wake's American Nightmare""]"
17480,Command &amp; Conquer: Red Alert 3,"['Rise of Nations: Extended Edition', 'Command &amp; Conquer: Red Alert 3 - Uprising', 'Warhammer 40,000: Dawn of War II', 'Tank Defense Division', 'Supreme Commander: Forged Alliance']"
12500,PuzzleQuest: Challenge of the Warlords,"['Puzzle Quest 2', 'Ichi', '10,000,000', 'Puzzle Kingdoms', 'Fortix']"
12310,Culpa Innata,"['Alternativa', 'Haunted', 'Hypnosis', 'Gray Skies, Dark Waters', 'Stranded In Time']"
12510,Prison Tycoon 3™: Lockdown,"['Tropico 4: Junta Military DLC', 'Tropico 4: Plantador DLC', 'Tropico 4: Modern Times', 'Airline Tycoon 2: Honey Airlines DLC', 'Tropico 4: Pirate Heaven DLC']"
12530,Hunting Unlimited™ 2008,"['Antisquad: Tasks in Mexico - Final. Tactics DLC', 'Antisquad: Tasks near the coast of Somalia. Tactics DLC', 'Antisquad: Tasks in North Korea. Tactics DLC', 'Cyberia 2: Resurrection', ""Oddworld: Stranger's Wrath - Soundtrack (Volume One)""]"
12520,18 Wheels of Steel: American Long Haul,"['MX vs. ATV Supercross Encore - Copper Canyon Open World', 'Street Legal Racing: Redline v2.3.1', 'Disney•Pixar Cars Mater-National Championship', 'Need for Speed: Shift', 'American Truck Simulator - New Mexico']"
8100,Conflict: Denied Ops,"['Call of Duty®: Black Ops II - Uprising', 'Call of Duty®: Advanced Warfare - Havoc', 'Borderlands 2 Season Pass', ""Tom Clancy's Rainbow Six® Vegas"", 'Call of Duty®: Black Ops II - Nuketown Zombies Map']"
2780,ARMA: Combat Operations,"['Arma 2: Army of the Czech Republic', 'Arma 3 Helicopters', ""Tom Clancy's Ghost Recon® Desert Siege™"", ""Tom Clancy's Rainbow Six Lockdown™"", 'Arma 2: British Armed Forces']"
9710,Desperados 2: Cooper's Revenge,"['CTU: Counter Terrorism Unit', 'Full Spectrum Warrior', 'The Sum of All Fears', 'Helldorado', 'Sword of the Stars II Soundtrack']"
9800,Death to Spies,"['Death to Spies: Moment of Truth', 'Outcast - Second Contact', 'Just Cause™ 3 DLC: Sky Fortress Pack', 'Medal of Honor: Airborne', 'Velvet Assassin']"
9760,Act of War: High Treason,"['Act of War: Direct Action', 'Army Men RTS', 'Arena Wars 2', 'Joint Task Force', 'APOX']"
2700,RollerCoaster Tycoon® 3: Platinum,"['SimCity™ 4 Deluxe Edition', 'Cities: Skylines', ""Sid Meier's Railroads!"", 'Evil Genius', 'Railroad Tycoon 3']"
2710,Act of War: Direct Action,"['Act of War: Direct Action', 'Army Men RTS', 'Arena Wars 2', 'Joint Task Force', 'APOX']"
13200,Unreal 2: The Awakening,"['Section 8®: Prejudice™', 'Red Faction', 'Half-Life Deathmatch: Source', 'Deathmatch Classic', 'Red Faction II']"
13250,Unreal Gold,"['QUAKE', 'QUAKE II', 'Unreal Tournament: Game of the Year Edition', 'Half-Life: Source', ""Unreal Tournament 2004: Editor's Choice Edition""]"
13000,Ninja Reflex: Steamworks Edition,"['Yumsters 2: Around the World', 'Fluttabyes', 'Rhythm Zone Tornado Visualizer DLC', 'Rhythm Zone DJ Table Visualizer DLC', 'Trino']"
13560,Tom Clancy's Splinter Cell®,"['Hitman: Codename 47', 'Just Cause', 'Bionic Commando', ""Tom Clancy's Splinter Cell Chaos Theory®"", 'MDK']"
13520,Far Cry®,"['Crysis', 'Call of Juarez™', 'Crysis 2 - Maximum Edition', 'Metro: Last Light Redux', 'BioShock Infinite: Burial at Sea - Episode Two']"
13240,Unreal Tournament: Game of the Year Edition,"['QUAKE II', ""Unreal Tournament 2004: Editor's Choice Edition"", 'QUAKE', 'Unreal Tournament 3 Black', 'Quake III Arena']"
13540,Tom Clancy's Rainbow Six® Vegas,"['PAYDAY™ The Heist: Wolfpack DLC', ""Tom Clancy's Ghost Recon®"", ""Tom Clancy's Rainbow Six® Vegas 2"", 'Sniper Ghost Warrior 3', ""Tom Clancy's Rainbow Six® 3 Gold""]"
15210,Silent Hunter® III,"['Silent Hunter®: Wolves of the Pacific', 'Battlestations Pacific', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions', 'Silent Hunter 5®: Battle of the Atlantic', 'Knights of the Sky']"
16180,Virtual Villagers - The Secret City,"['Virtual Families', 'Coconut Queen', 'Rocksmith - Queen - Keep Yourself Alive', 'Rocksmith - My Chemical Romance - Planetary (GO!)', 'Rocksmith - 3 Doors Down - 3-Song Pack']"
3520,Mystery P.I.™ - The Vegas Heist,"['Mystery P.I.™ - The Vegas Heist', 'Mystery P.I. - Lost in Los Angeles', 'Hidden Expedition: Titanic', ""Mishap 2: An Intentional Haunting - Collector's Edition"", 'The Flying Dutchman']"
15970,Luxor,"['Cradle of Persia', 'Gems of the Aztecs', 'Heroes from the Past: Joan of Arc', 'Ricky Raccoon 2 - Adventures in Egypt', 'Legend of Egypt - Pharaohs Garden']"
15950,Reaxxion,"['Timber! The Logging Experts', 'Dodge', 'Terra Lander', 'Feel-A-Maze', 'Worms Pinball']"
15960,Little Farm,"['Farm Frenzy 3', 'Puzzler World', 'LUXOR: Mah Jong', '7 Wonders II', 'Peggle™ Nights']"
15900,7 Wonders II,"['Bejeweled Deluxe', 'Zuma Deluxe', 'Bejeweled 2 Deluxe', '3SwitcheD', '7 Wonders of the Ancient World']"
15910,Luxor Amun Rising,"['Luxor 2', 'Brain Spa', 'Cake Mania Main Street™', 'Fitness Dash™', 'Gemini Lost™']"
15930,Luxor 3,"['Mahjongg Investigations: Under Suspicion', 'Mahjong Quest Collection', 'Roogoo', 'Columns™ III', 'Cranky Cat']"
15160,Petz® Horsez® 2,"['Clock Simulator', 'My Riding Stables: Life with Horses', 'Teddy Floppy Ear - The Race', 'World of Zoo', 'I Get This Call Every Day']"
15920,Luxor 2,"['Luxor 2', 'Brain Spa', 'Cake Mania Main Street™', 'Fitness Dash™', 'Gemini Lost™']"
15080,Rayman Raving Rabbids™,"['VCB: Why City', 'Lost in a Forest', 'LocoCycle', 'A grande bagunça espacial - The big space mess', 'Hello Neighbor']"
15200,Silent Hunter®: Wolves of the Pacific,"['Silent Hunter®: Wolves of the Pacific U-Boat Missions', 'Pacific Storm Allies', 'Crash Dive', 'Task Force 1942: Surface Naval Action in the South Pacific', 'Silent Hunter® III']"
15320,IL-2 Sturmovik: 1946,"['Wings of Prey', 'Iron Front: Digital War Edition', 'Silent Hunter® III', 'Combat Wings: Battle of Britain', 'Air Conflicts: Pacific Carriers']"
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions,"['Silent Hunter®: Wolves of the Pacific', 'Pacific Storm Allies', 'Crash Dive', 'Task Force 1942: Surface Naval Action in the South Pacific', 'Theatre of War 2 - Battle for Caen']"
8310,Bone: Out From Boneville,"['Bone: The Great Cow Race', 'Nicolas Eymerich - The Inquisitor - Book 1 : The Plague', 'The Interactive Adventures of Dog Mendonça &amp; Pizzaboy®', 'Dream Chamber', 'A Stroke of Fate: Operation Bunker']"
12600,Midnight Outlaw: 6 Hours to SunUp,"['Sprint Cars Road to Knoxville', 'F1 Race Stars - Music Accessory Pack', 'F1 Race Stars - Science Accessory Pack', 'F1 Race Stars - Princess Accessory Pack', 'F1 Race Stars - Nature Accessory Pack']"
8320,Bone: The Great Cow Race,"['Bone: The Great Cow Race', 'Nicolas Eymerich - The Inquisitor - Book 1 : The Plague', 'The Interactive Adventures of Dog Mendonça &amp; Pizzaboy®', 'Dream Chamber', 'A Stroke of Fate: Operation Bunker']"
12590,Sprint Cars Road to Knoxville,"['Sprint Cars Road to Knoxville', 'F1 Race Stars - Music Accessory Pack', 'F1 Race Stars - Science Accessory Pack', 'F1 Race Stars - Princess Accessory Pack', 'F1 Race Stars - Nature Accessory Pack']"
12560,Ride! Carnival Tycoon,"['Hospital Manager', 'Prison Tycoon Alcatraz', 'Hotel Giant 2', 'Vegas: Make It Big™', 'M.U.D. TV']"
12540,Mahjongg Investigations: Under Suspicion,"['Mahjongg Investigations: Under Suspicion', 'Mahjong Quest Collection', 'Roogoo', 'Columns™ III', 'Cranky Cat']"
11050,Dracula Origin,"['Dracula 4 and  5 - Special Steam Edition', 'RHEM IV: The Golden Fragments SE', 'Dracula: The Resurrection', 'Dracula 3: The Path of the Dragon', 'Rituals']"
11040,Sherlock Holmes - Nemesis,"['Sherlock Holmes versus Jack the Ripper', 'Agatha Christie - The ABC Murders', 'Sinking Island', 'Alter Ego', 'Sherlock Holmes: The Silver Earring']"
19500,Eternity's Child,"[""Aritana and the Harpy's Feather"", 'Sign Motion', 'Tesla Breaks the World!', 'OddPlanet', 'Formless Adventure']"
11260,Pacific Storm Allies,"['Crash Dive', 'Silent Hunter®: Wolves of the Pacific U-Boat Missions', 'Theatre of War 2 - Battle for Caen', 'Time of Fury', '1942: The Pacific Air War']"
19200,Tank Universal,"['ELMIA Original Soundtrack', 'Enigmatis 3: The Shadow of Karkhala - Artbook &amp; Soundtrack', '99Vidas - Soundtrack', 'Pixel Gladiator OST', 'Jack &amp; the cat']"
12360,FlatOut: Ultimate Carnage,"['FlatOut', 'FlatOut 4: Total Insanity', 'FlatOut 2™', 'Crazy Taxi', 'Ford Racing 3']"
15710,Oddworld: Abe's Exoddus®,"[""Oddworld: Abe's Oddysee®"", ""Oddworld: New 'n' Tasty"", ""Cosmo's Cosmic Adventure"", 'Kabitis', 'Stealth Inc 2: A Game of Clones']"
15700,Oddworld: Abe's Oddysee®,"[""Oddworld: Abe's Exoddus®"", ""Oddworld: New 'n' Tasty"", 'Kabitis', 'Another World – 20th Anniversary Edition', 'Albert and Otto']"
8660,GTR Evolution Expansion Pack for RACE 07,"['RIDE', 'Ford Racing 3', 'RACE 07', 'F1 2015', 'rFactor 2']"
7770,X-COM: Enforcer,"['Front Mission Evolved', 'Rogue Trooper', 'CT Special Forces: Fire for Effect', 'Alien Breed 3: Descent', 'Inversion™']"
7660,X-COM: Apocalypse,"['UFO: Aftermath', 'UFO: Afterlight', 'UFO: Extraterrestrials Gold', 'Fallout Tactics: Brotherhood of Steel', 'Jagged Alliance - Back in Action']"
7760,X-COM: UFO Defense,"['X-COM: Terror From the Deep', 'Star Hammer: The Vanguard Prophecy', 'XCOM 2: War of the Chosen', 'Xenonauts', 'Jagged Alliance 2 - Wildfire']"
20510,S.T.A.L.K.E.R.: Clear Sky,"['S.T.A.L.K.E.R.: Call of Pripyat', 'S.T.A.L.K.E.R.: Shadow of Chernobyl', 'Dying Light', 'Metro: Last Light Redux', 'Alone in the Dark']"
17330,Crysis Warhead®,"['Crysis', 'Crysis 2 - Maximum Edition', 'Section 8®: Prejudice™', 'Frontlines™: Fuel of War™', 'Unreal 2: The Awakening']"
17300,Crysis,"['Far Cry®', 'Crysis 2 - Maximum Edition', 'Crysis Warhead®', 'Call of Juarez™', 'Half-Life']"
7730,X-COM: Interceptor,"['Tachyon: The Fringe', 'Ancient Space', 'X3: Reunion', 'Universal Combat CE', 'Descent: FreeSpace – The Great War']"
20900,The Witcher: Enhanced Edition Director's Cut,"['The Witcher 2: Assassins of Kings Enhanced Edition', 'Gothic 1', 'Fable - The Lost Chapters', 'Risen', 'Fable Anniversary']"
1530,Multiwinia,"['Fracture the Flag', 'Supreme Commander 2: Infinite War Battle Pack', 'Meridian: New World', 'SPACECOM', 'Win That War!']"
8690,STCC - The Game 1 - Expansion Pack for RACE 07,"['STCC - The Game 1 - Expansion Pack for RACE 07', 'STCC The Game 2 – Expansion Pack for RACE 07', 'RETRO – Expansion Pack for RACE 07', 'HTR+ Slot Car Simulation', 'Aquadelic GT']"
17120,Children of the Nile: Alexandria,"['Children of the Nile: Enhanced Edition', 'Cities XL Platinum', 'Cities in Motion', 'Cities: Skylines - After Dark', 'Caesar™ IV']"
16810,Sid Meier's Civilization IV: Colonization,"['Civilization IV: Beyond the Sword', ""Sid Meier's Civilization V: Brave New World"", 'Civilization IV®: Warlords', ""Sid Meier's Civilization V: Gods and Kings"", 'Future Wars']"
19830,Tom Clancy's Rainbow Six® 3 Gold,"[""Tom Clancy's Ghost Recon®"", 'Operation Flashpoint: Red River', ""Tom Clancy's Rainbow Six® Vegas"", 'Arma 3 Apex', 'Arma 3']"
21000,LEGO Batman,"['LEGO® Batman™3: Beyond Gotham', 'LEGO® Marvel™ Super Heroes', ""LEGO® MARVEL's Avengers"", 'LEGO® Batman 2 DC Super Heroes™', 'LEGO The Lord of the Rings']"
4460,City Life 2008,"['Cities: Skylines - Green Cities', 'CivCity: Rome', 'TownCraft', 'Hearthlands', 'Community Inc']"
17140,Hinterland,"['Confrontation', 'Dungeons and Dragons: Daggerdale', 'Stellar Stars - Soundtrack', 'SpellForce 2 - Anniversary Edition', 'SpellForce - Platinum Edition']"
